"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"11500","505ff2e59518789d8b46f2901bf5e4d1",20,20,0,20,20,0,1,2
"11501","5061eb351cc94c0ec34b6f0986081dea",28,28,0,28,28,0,1,2
"11502","5061f20087ab9aebb8d64d781b154662",76,67,18,29.5555555555556,27,49,1,3
"11503","50638687ef07953456dd48d4e6491a9d",22,17,44,3.5,22,0,2,1
"11504","5063caa33d8919e96cddefc61f3a0e88",18,18,0,18,18,0,1,2
"11505","5067221157c948942ca2c085b73f3130",73,55,57,8.96491228070176,73,0,2,3
"11506","506983daec48699f6bfb16eb83e8f07d",61,42,64,6.671875,61,0,2,1
"11507","506bccb34965595dcc192d3a94b8f831",16,16,0,16,16,0,1,2
"11508","506d7d0e9cae2060b175ac237e92d005",62,55,68,6.38235294117647,40,22,2,1
"11509","506dc00779d6669969f2ff59f6e9b60c",212,118,84,17.6666666666667,212,0,3,3
"11510","506e2212edc67630c043706e61d91c56",92,67,64,10.0625,92,0,2,3
"11511","506f324c2d01d94b7d8125dd0aaa849c",50,38,27,12.962962962963,50,0,2,1
"11512","506fd8f856304b4e9ad0f4f587d6c450",23,13,63,2.55555555555556,9,14,2,1
"11513","507129bce23bee2e4b523ddd320c1053",51,51,0,51,51,0,1,2
"11514","507379e3887c53fb08c65350d4a62419",15,13,45,2.33333333333333,15,0,2,1
"11515","507465e592418365322f3a73faa60740",52,52,0,52,0,52,1,2
"11516","50773d5c2eb1767f666543319d673397",110,73,73,10.5479452054795,75,35,3,1
"11517","5077f5e819b5251d80f4f4b01150c726",28,28,0,28,28,0,1,2
"11518","5078ff6f16d7cf2e7c5784eaae26698a",56,46,60,6.53333333333333,56,0,2,1
"11519","507a18c33e8316852816daad97f645e6",54,45,31,12.1935483870968,25,29,2,1
"11520","507d396881dcbbb9c3dbe5593bf74f02",92,59,79,8.15189873417721,92,0,2,3
"11521","5082c6d897ef343654df4a3e982e7183",29,29,23,8.82608695652174,29,0,2,1
"11522","5084e8ba86870c791e0d2d1803cd93fe",82,64,33,17.3939393939394,82,0,2,3
"11523","5088253094526304c1cd01bb0b6a69d5",185,82,79,16.3924050632911,185,0,3,3
"11524","5088f7de9113f9e883db75889035a92d",159,94,49,22.7142857142857,113,46,3,3
"11525","50896dafa05f31b291e15a003ad5fe44",35,23,11,22.2727272727273,35,0,1,2
"11526","508aa127d55202077a45db6466e9f116",32,29,35,6.4,0,32,2,1
"11527","508b7f3b04f520167f76b76219dd149c",19,15,71,1.87323943661972,19,0,2,1
"11528","508e9ea17b4557795a4659d3a596c8b8",8,5,57,0.982456140350877,8,0,2,1
"11529","5092e5a74eb85ace07cd172c2f84c4ac",56,45,37,10.5945945945946,56,0,2,1
"11530","509337c1494bd42392301934b96c474e",111,84,39,19.9230769230769,76,35,3,3
"11531","5095d8276fa3acefa9e3e11821106d69",45,36,33,9.54545454545454,45,0,2,1
"11532","509a8056a7d99241782bc2a82e7a1ea7",16,16,0,16,16,0,1,2
