"id_cliente","producto_recomendado","ranking"
"164","11040301",2
"164","01201005",3
"164","01201515",4
"164","04020301",5
"165","01028030",1
"165","12650101",2
"165","04200515",3
"165","10260605",4
"165","08052005",5
"166","01012910",1
"166","05041180",2
"166","10120410",3
"166","10200709",4
"166","01012905",5
"167","11100137",1
"167","11100128",2
"167","05030415",3
"167","01013305",4
"167","10261505",5
"168","12650103",1
"168","05030415",2
"168","12650105",3
"168","02691505",4
"168","11040301",5
"169","10200709",1
"169","11040301",2
"169","05100802",3
"169","05040584",4
"169","04012002",5
"170","01013315",1
"170","08100907",2
"170","08452510",3
"170","10261505",4
"170","01026605",5
"171","01012910",1
"171","02650602",2
"171","02691015",3
"171","04201005",4
"171","10120410",5
"172","02650602",1
"172","11100131",2
"172","01026810",3
"172","02690515",4
"172","04032060",5
"173","01012910",1
"173","01017105",2
"173","02691015",3
"173","02691020",4
"173","05041195",5
"174","01016710",1
"174","08010909",2
"174","01027835",3
"174","10080409",4
"174","05160102",5
"175","01026810",1
"175","04020301",2
"175","01085515",3
"175","11140952",4
"175","06100101",5
"176","01016710",1
"176","01028305",2
"176","01085120",3
"176","01085505",4
"176","04060309",5
"177","08230125",1
"177","08090113",2
"177","12570328",3
"177","01012310",4
"177","01026810",5
"178","05040185",1
"178","01012310",2
"178","05040188",3
"178","01028305",4
"178","01085020",5
"179","01012705",1
"179","01017105",2
"179","01028305",3
"179","01085020",4
"179","02691015",5
"180","01027205",1
"180","05041182",2
"180","05160301",3
"180","06120406",4
"180","05041185",5
"181","01012705",1
"181","01016710",2
"181","08190109",3
"181","08230709",4
"181","11060301",5
"182","01012310",1
"182","01027205",2
"182","05040584",3
"182","05040280",4
"182","10240130",5
"183","05041187",1
"183","01016505",2
"183","01026410",3
"183","01012305",4
"183","04200520",5
"184","02651405",1
"184","01026005",2
"184","05041188",3
"184","10260620",4
"184","05030103",5
"185","01013315",1
"185","05200102",2
"185","11080105",3
"185","01012715",4
"185","05040582",5
"186","05040281",1
"186","11080105",2
"186","10261505",3
"186","01085010",4
"186","08031925",5
"187","01013305",1
"187","01201515",2
"187","05041188",3
"187","01085110",4
"187","05040183",5
"188","02691015",1
"188","09030303",2
"188","01013305",3
"188","04200505",4
"188","05040184",5
"189","06120119",1
"189","10200709",2
"189","10260620",3
"189","05040584",4
"189","10240130",5
"190","05040188",1
"190","11101315",2
"190","05040580",3
"190","08314035",4
"190","08051545",5
"191","01017105",1
"191","01201525",2
